,alpha,beta,lambda
242,0.01257483729022437,0.012978092387515482,0.0011080590474516268
243,0.019100198778200496,0.038682509561287826,0.022106758825729017
244,0.01249949408856365,0.013343270249819135,0.0022131976161801
245,0.052009468285786786,0.08849515263634172,0.008682065614353928
246,0.026116209431317934,0.037596397711973706,0.008522651754100457
247,0.022614987173363733,0.028044994213929683,0.007897057672896762
248,0.06639220097109294,0.0685628228796327,0.0042496091843006335
249,0.00958355499655301,0.013512713776482294,0.008013615771504995
250,0.014498862088589144,0.015281043108707013,0.0010280206883305307
251,0.014736182611012285,0.01570692785950446,0.0014276657475098
252,0.019119898407234628,0.023426959089643228,0.011469412033542395
253,0.022612724647171883,0.03929175766261252,0.019096772431838813
254,0.02094936254970508,0.03142812526900316,0.011339611462303152
255,0.024863980027507636,0.0559296747406304,0.019821050807299016
256,0.04210911640200908,0.13443575089044427,0.004949857709321447
257,0.016041716689756142,0.017832338658957718,0.002816989486612742
258,0.021511224880848365,0.02416483877125316,0.0016284646349563245
259,0.015219202849969993,0.01734931469130501,0.0046367909210436
260,0.009832758139885697,0.01008498738853197,0.0006689460670833343
261,0.024382126669804077,0.045655077825821476,0.0082966210102681
262,0.023248120477069135,0.06318461397672023,0.012787718863993767
263,0.005257996573335442,0.0056030367302742235,2.9913028569856086e-17
264,0.012084113849279437,0.01497631753552657,0.005641397179796096
265,0.019405594269726805,0.030214306785232604,0.009796467137190058
266,0.02760596738687222,0.03106060439323091,0.0037597094402405987
267,0.022030476807790817,0.039200773397291874,0.013593062627206953
268,0.013251105027266044,0.01729881836523686,0.006947041475719366
269,0.014951610817232189,0.02445894750113505,0.011818401228003303
270,0.022298941296781016,0.025818326733873978,0.008255017657696397
271,0.025759640428765884,0.030218112651097973,0.005482710830838063
272,0.014317165582355053,0.018637155386903026,0.010494185039127402
273,0.011042591130215482,0.01497146580435145,0.00730947554219339
274,0.028060165040105355,0.039514507884640636,0.009556390343561726
275,0.012928272079437081,0.014144579928056037,0.0019231903639250608
276,0.01550064873129351,0.017104969291444106,0.001985879708247727
277,0.015455033186360254,0.017365775044438495,0.0044415336319069045
278,0.023330173522480683,0.028189104077699048,0.013909405259469418
279,0.0154506448653775,0.019956845049574526,0.0061586321566096365
280,0.017630547860045302,0.017921749293162103,0.0007281016752368606
281,0.008810025388345435,0.010231206204624983,0.0028937881591395223
282,0.020160937804503797,0.02214991917888613,0.005852891771826791
283,0.03503439904363586,0.16078969590926262,0.005861873740846987
284,0.014402920586901352,0.02301151253178485,0.009278981018682547
286,0.020207349687899615,0.05328426421230768,0.01450749486397252
287,0.011053547481773335,0.01277010436835346,0.00198000667943519
288,0.015605105821995487,0.021539237686240484,0.010822524256057899
289,0.006471390874502325,0.006471390874502325,1.2193332033341987e-18
290,0.02184613246103585,0.023933207354239306,0.005763507057554962
291,0.07703362326359427,0.12750873184310588,0.013452405078533127
292,0.015272220410477303,0.016461503313056177,0.0016315937670100633
293,0.012629674021730793,0.03537349483278373,0.0102939999724589
294,0.021469718368386886,0.036681449223420065,0.019359504900544715
295,0.010665811092589886,0.023702722157953375,0.011361700732350639
296,0.016609155593262377,0.028207218928786436,0.011938531882694496
297,0.010963859741235395,0.01855278950466429,0.0055059732216539104
298,0.023212696526221765,0.037078747168469366,0.0264327792670798
299,0.012764217380069472,0.02162397483878139,0.006888359702995039
300,0.05854637727669829,0.05984214086606713,0.002742575285755337
301,0.016220802347419856,0.016714025146182525,0.0003660324400892573
302,0.013747312501936459,0.01862028092070316,0.008528259758282693
303,0.06480840676015244,0.06675873398931177,0.003434518885120488
306,0.009369375524608871,0.010019396228384107,0.0011568956409649838
307,0.0601363759231569,0.06248726548009025,0.0051729446034695335
308,0.015915712931755036,0.04650853207411415,0.02021702769950361
309,0.02230009785453863,0.028192157269166122,0.007416225728177844
310,0.013181948666573231,0.026464591275418337,0.01526458765533895
311,0.012497354453685048,0.013794350687298788,0.003090110891878665
312,0.020228861039597187,0.03863658769390808,0.017043233720213904
313,0.007932016724130339,0.008469307588015087,0.0007729188563390713
314,0.012322317676464306,0.028082654836381005,0.013200595666083972
315,0.024118399355526888,0.024354130104024155,0.0006655923822697246
316,0.0198136548004077,0.021528954474205608,0.004889887289899432
317,0.014941383215774897,0.051038381826444726,0.008708949136001655
318,0.010036128928363688,0.010934413486127486,5.43970128280016e-16
319,0.011274123547329899,0.014188668675567012,0.0057941999563226355
320,0.0180838230949882,0.023602440863588894,0.008232114668100601
321,0.023885946477084183,0.04177352195319348,0.028279456976906054
